Domande,Risposte
Quali opere di Banksy ci sono in Italia?,"In Italia ci sono due opere di Banksy: la Madonna con la Pistola a Napoli, che rappresenta la Madonna con una pistola al posto dell'aureola e il Bambino nel Vento a Venezia, che mostra un bambino con un giubbetto salvagente e un razzo segnaletico in mano, mentre cerca di attirare l'attenzione dei passanti. "
Quali temi affronta Banksy con le sue opere?,"Banksy veicola messaggi universali e affronta temi importanti come la società occidentale, le assurdità e i paradossi di quest'ultima, ma anche la guerra, l'inquinamento, il consumismo e la povertà attraverso ironia, poesia e ribaltamento del significato."
Qual è la vera identità di Banksy?,"Sfortunatamente non è possibile rispondere con certezza alla domanda sulla vera identità di Banksy. Le due teorie principali suggeriscono che Banksy potrebbe essere o Robert Del Naja dei Massive Attack oppure Robin Gunningham, artista britannico."
Qual è e quanto vale l'opera più costosa di Banksy?,"L'opera più costosa di Banksy è ""Game Changer,"" che rappresenta un bambino in bianco e nero che durante la pandemia getta Spider-Man e Batman in un cestino, sostituendoli con una supereroina simboleggiante un'infermiera. L'opera è stata venduta per $ 23.2 milioni"
Quali sono i soggetti principali delle sue opere?,"I soggetti preferiti da Bansky sono le scimmie, i poliziotti, i soldati, i vecchi, i bambini e i ratti, non a caso quest'ultimi, piccoli e brutti, sono stati scelti da Banksy perchè in grado di distruggere interi sistemi sociali, apparentemente invincibili"
Con che tecnica Banksy realizza i suoi graffiti?,"I graffiti di Banksy sono realizzati con la tecnica dello stencil, consiste nel riprodurre uno stesso disegno grazie ad un modello in cartone che viene usato come stampo. Questa tecnica è molto economica ma soprattuto rapida, il che la rende essenziale per la realizzazione di murales in luoghi in cui non si ha il permesso di farlo. "
La street art è legale?,"L’EUIPO ha precisato che le opere di street art che non sono autorizzate dal proprietario del bene su cui sono realizzate costituiscono atto criminale, per tanto anche i diritti d’autore vengono annullati da queste circostanze."
A che filone appartiene l’arte di Banksy? ,"Banksy appartiene alla corrente artistica della Street Art. Murales, graffiti, spray o stencil art, è questo il “contenitore” in cui si muove Banksy"
Quali sono le opere più famose di Banksy?,"Flower Thrower, Bambina con il palloncino, Love is the trash, Painting for Saints, La ragazza con l’orecchino di perla. Altre opere iconiche non hanno un nome ufficiale, come la rappresentazione di Steve Jobs come profugo"
Ci sono opere di Banksy che hanno subito cambiamenti o sono state modificate dopo la loro creazione?,"La sua versione della ragazza con l’orecchino di perla è stata aggiornata in tempi di pandemia, con l’aggiunta di una mascherina"
